Sno.,Total Shots,Reporting Rate,Matching Digits,Resources,Final Pi,Cost of Analysis,
1,1000,100,4,1,3.1112,8.89E-07,
2,10000,100,4,1,3.149973,1.07E-06,
3,10000,100,4,2,3.143671,1.11E-06,
4,10000,100,4,3,3.167988889,9.45E-07,
5,10000,100,4,4,3.104075,9.40E-07,
5,20000,500,4,4,3.12879,1.08E-06,
6,30000,500,4,4,3.136611667,1.08E-06,
7,40000,500,4,4,3.133825,1.17E-06,
8,50000,500,4,4,3.158315,1.27E-06,
9,60000,1000,4,4,3.16303,1.21E-06,
10,70000,1000,4,6,3.143888333,1.62E-06,
11,100000,1000,4,6,3.132336458,1.36E-06,
13,1000,100,2,1,3.1180000000000003,1.170912981033325e-06
15,1000,100,2,1,3.168,8.606712341308593e-07
